Id,Spanish,French,Portuguese,English,German,Chinese,Japanese
loc_start,Comenzar,Début,Começar,Start,Anfang,開始,開始
loc_play,Jugar,Jouer,Jogar,Play,Spielen,玩,遊びます
loc_tutorial,Tutorial,Tutoriel,Tutorial,Tutorial,Tutorial,教程,チュートリアル
loc_options,Opciones,Options,Opçoes,Options,Optionen,選項,遊びます
loc_credits,Créditos,Crédits,Créditos,Credits,Kredite,學分,クレジット
loc_exit,Salir,Sortir,Sair,Exit,Verlassen,放棄,終了する
loc_sureExit,¿Estás seguro?,Êtes-vous sûr?,Você tem certeza?,Are you sure?,Bist du sicher?,你確定？,本気ですか？
loc_globVol,Volumen global,Volumen global,Volume global,Master Volume,Master Volumen,主音量,マスターボリューム
loc_musicVol,Volumen música,Volume musique,Volume música,Music Volume,Musiklautstärke,音樂音量,音楽ボリューム
loc_sfxVol,Volumen efectos,Volume effets,Volume efeitos,SFX Volume,Effektvolumen,效果音量,エフェクトボリューム
loc_vibration,Vibración,Vibration,Vibraçao,Vibration,Vibration,振動,振動
loc_yes,Si,Oui,Sim,Yes,Ja,是,はい
loc_no,No,Non,Não,No,Nein,沒有,いいえ
loc_next,Siguiente,Suivant,Seguinte,Next,Folgende,以下,以下
loc_language,Idioma,Langage,Idioma,Language,Sprache,語言,言語
loc_spanish,Español,Espagnol,Espanhol,Spanish,Spanisch,西班牙語,スペイン語
loc_french,Francés,Français,Francé,French,Französisch,法國,フランス語
loc_portuguese,Portugués,Portugese,Português,Portuguese,Portugiesisch,葡萄牙語,ポルトガル語
loc_english,Inglés,Anglais,Inglês,English,Englisch,英語,英語
loc_german,Alemán,Allemand,Alemão,German,Deutsche,德語,ドイツ人
loc_chinese,Chino,Chinois,Chinês,Chinese,Chinesisch,中文,中国語
loc_japanese,Japonés,Japonais,Japonês,Japanese,Japanisch,日本,日本語
loc_return,Volver,Retourner,Voltar,Back,unterstützen,返回,リターン
loc_stage,Escena,Étape,Etapa,Stage,Szene,階段,ステージ
loc_StageCom,¡Escena completada!,Ètape terminée!,Etapa concluída!,Stage completed!,Bühne abgeschlossen!,舞台完成！,ステージが完了しました！
loc_level,Nivel,Niveau,Nivel,Level,Niveau,水平,レベル
loc_empty,Vaciar,Vider,Esvaziar,Empty,Leeren,清空,空の
loc_score,Puntuación,Score,Contagem,Score,Ergebnis,比分,スコア
loc_accuracy,Puntería,Précision,Precisão,Accuracy,Genauigkeit,精密,正確さ
loc_speedCol,Velocidad de Colector,Vitesse du collecteur,Velocidade do coletor,Collector speed,Kollektorgeschwindigkeit,收集器速度,コレクタ速度
loc_speedFruitFall,Velocidad de caída,Vitesse de chute des fruits,Velocidade de queda de frutas,Fruit fall speed,Fruchtabfallgeschwindigkeit,果實下降速度,フルーツフォールスピード
loc_goldChance,Probabilidad de objetos de oro,Chance de spawn d'élément d'or,Possibilidade de spawn do ouro,Gold item spawn chance,Gold Artikel Spawn Chance,金項產卵機會,ゴールドアイテムスポーンチャンス
loc_sackSize,Tamaño de saco,Taille du sac,Tamanho do saco,Sack size,Sackgröße,袋子大小,袋サイズ
loc_strikerArea,Area de golpe,Zone de frappe,área rapper,Striker hit area,Stürmer Hit Bereich,護板面積,ラッパーエリア
loc_strikerSpeed,Velocidad de golpeador,Vitesse du rappeur,Velocidade rapper,Striker speed,Stürmer Geschwindigkeit,說唱速度,ラッパースピード
loc_equip,Equipar,Équiper,Equipar,Equip,Ausrüsten,裝備,装備
loc_remove,Quitar,Retirer,Remover,Remove,Entfernen,去掉,除去する
loc_buy,Comprar,Acheter,Comprar,Buy,Kaufen,購買,購入
loc_sell,Vender,Vendre,Vender,Sell,Verkaufen,賣,売る
loc_gameDesign,Diseño de juego,Design du jeu,Design de jogo,Game Design,Spieldesign,遊戲設計,ゲームデザイン
loc_programming,Programación,Programmation de jeux,Programação de jogos,Game Programmer,Spielprogrammierer,遊戲編程,ゲームプログラマー
loc_music,Producción musical,Production de musique,Produção musical,Music production,Musikproduktion,音樂製作,音楽制作 / 音楽
loc_art,Arte,Art,Arte,Art,Kunst,藝術,アート
loc_producedBy,Un juego producido por Gloomy Cave Entertainment,Un jeu produit par Gloomy Cave Entertainment,Um jogo produzido por Gloomy Cave Entertainment,A game produced by Gloomy Cave Entertainment,Ein Spiel von Gloomy Cave Entertainment produziert,由Gloomy Cave Entertainment製作的遊戲,Gloomy Cave Entertainmentが制作したゲーム
loc_rank_s,S,S,S,S,S,优秀,S
loc_rank_a,A,A,A,A,A,很好,A
loc_rank_b,B,B,B,B,B,良好,B
loc_rank_c,C,C,C,C,C,中等,C
loc_rank_d,D,D,D,D,D,及格,D
loc_rank_e,E,E,E,E,E,不及格,E
loc_lose,¡Te han pillado!,Vous avez été pris!,Você foi travado!,You got caught!,Sie haben gefangen!,你被抓！,あなたはキャッチされてきました！
loc_retry,Reintentar,Recommencez,Tente novamente,Retry,Wiederholen,重試,リトライ
loc_ok,Aceptar,Accepter,Aceitar,Okay,Akzeptieren,好,受け入れます
loc_shop,Tienda,Boutique,Loja,Shop,Geschäft,店,ショップ
loc_inventory,Inventario,Inventaire,Iventário,Inventory,Inventar,盤點,在庫
loc_tut_welcome,¡Bienvenido al tutorial de Rogue Monkeys!,Bienvenue sur le didacticiel de Rogue Monkeys!,Bem-vindo ao tutorial de Rogue Monkeys!,Welcome to Rogue Monkeys tutorial!,Willkommen bei Rogue Monkeys tutorial!,歡迎來到Rogue Monkeys教程！,Rogue Monkeysチュートリアルへようこそ！
loc_tut_collector,Desliza el pulgar izquierdo sobre el mono Collector para moverlo.,Desliza el pulgar izquierdo sur le monocoque Collector pararolllo.,Desliza el pulgar izquierdo sobre o Collector mono para moverlo.,Slide left finger to move Collector monkey,Schieben Sie den linken Finger, um den XXXX-Affen zu bewegen,滑動左手指移動Collector猴子,左の指をスライドさせてCollectorサルを動かす
